word_count,word,prefix,first_prefix,second_prefix,suffix,second_suffix,first_suffix,adjective_specificity
2,ሩጭ,ሩጭ,ሩ,ጭ,ሩጭ,ሩ,ጭ,0
4,አይሩጥ,አይ,አ,ይ,ሩጥ,ሩ,ጥ,1
4,አትሩጭ,አት,አ,ት,ሩጭ,ሩ,ጭ,0
4,አነበበ,አነ,አ,ነ,በበ,በ,በ,1
5,አነበበች,አነ,አ,ነ,በች,በ,ች,0
4,ያነባል,ያነ,ያ,ነ,ባል,ባ,ል,1
5,ታነባለች,ታነ,ታ,ነ,ለች,ለ,ች,0
4,ያንብብ,ያን,ያ,ን,ብብ,ብ,ብ,1
4,ታንብብ,ታን,ታ,ን,ብብ,ብ,ብ,0
5,አንብቧል,አን,አ,ን,ቧል,ቧ,ል,1
6,አንብባልች ,አን,አ,ን,ች ,ች, ,0
6,አላነበበም,አላ,አ,ላ,በም,በ,ም,1
7,አላነበበችም,አላ,አ,ላ,ችም,ች,ም,0
5,አታነቢም,አታ,አ,ታ,ቢም,ቢ,ም,0
4,አንብብ,አን,አ,ን,ብብ,ብ,ብ,1
4,አንብቢ,አን,አ,ን,ብቢ,ብ,ቢ,0
4,አታንቢ,አታ,አ,ታ,ንቢ,ን,ቢ,0
5,አያንብብ,አያ,አ,ያ,ብብ,ብ,ብ,1
2,ሰራ,ሰራ,ሰ,ራ,ሰራ,ሰ,ራ,1
3,ሰራች,ሰራ,ሰ,ራ,ራች,ራ,ች,0
4,ይሰራል,ይሰ,ይ,ሰ,ራል,ራ,ል,1
5,ትሰራልች,ትሰ,ት,ሰ,ልች,ል,ች,0
3,ይስራ,ይስ,ይ,ስ,ስራ,ስ,ራ,1
3,ትስራ,ትስ,ት,ስ,ስራ,ስ,ራ,0
4,ሰርቷል,ሰር,ሰ,ር,ቷል,ቷ,ል,1
5,ሰርታለች,ሰር,ሰ,ር,ለች,ለ,ች,0
5,አልሰራም,አል,አ,ል,ራም,ራ,ም,1
6,አልሰራችም,አል,አ,ል,ችም,ች,ም,0
5,አትሰሪም,አት,አ,ት,ሪም,ሪ,ም,0
2,ስራ,ስራ,ስ,ራ,ስራ,ስ,ራ,1
2,ስሪ,ስሪ,ስ,ሪ,ስሪ,ስ,ሪ,0
4,አትስሪ,አት,አ,ት,ስሪ,ስ,ሪ,0
5,አይሰራም,አይ,አ,ይ,ራም,ራ,ም,1
3,መለሰ,መለ,መ,ለ,ለሰ,ለ,ሰ,1
4,መለሰች,መለ,መ,ለ,ሰች,ሰ,ች,0
5,ይመልሳል,ይመ,ይ,መ,ሳል,ሳ,ል,1
6,ትመልሳለች,ትመ,ት,መ,ለች,ለ,ች,0
4,ይመልስ,ይመ,ይ,መ,ልስ,ል,ስ,1
4,ትመልስ,ትመ,ት,መ,ልስ,ል,ስ,0
4,መልሷል,መል,መ,ል,ሷል,ሷ,ል,1
5,መልሳለች,መል,መ,ል,ለች,ለ,ች,0
6,አልመለሰም,አል,አ,ል,ሰም,ሰ,ም,1
7,አልመለሰችም,አል,አ,ል,ችም,ች,ም,0
6,አትመልሽም,አት,አ,ት,ሽም,ሽ,ም,0
3,መልስ,መል,መ,ል,ልስ,ል,ስ,1
3,መልሽ,መል,መ,ል,ልሽ,ል,ሽ,0
5,አትመልሽ,አት,አ,ት,ልሽ,ል,ሽ,0
6,አይመልስም,አይ,አ,ይ,ስም,ስ,ም,1
3,ለመነ,ለመ,ለ,መ,መነ,መ,ነ,1
4,ለመነች,ለመ,ለ,መ,ነች,ነ,ች,0
5,ይለምናል,ይለ,ይ,ለ,ናል,ና,ል,1
6,ትለምናለች,ትለ,ት,ለ,ለች,ለ,ች,0
4,ይለምን,ይለ,ይ,ለ,ምን,ም,ን,1
4,ትለምን,ትለ,ት,ለ,ምን,ም,ን,0
4,ለምኗል,ለም,ለ,ም,ኗል,ኗ,ል,1
5,ለምናልች,ለም,ለ,ም,ልች,ል,ች,0
5,አለመነም,አለ,አ,ለ,ነም,ነ,ም,1
6,አለመነችም,አለ,አ,ለ,ችም,ች,ም,0
6,አትለምኝም,አት,አ,ት,ኝም,ኝ,ም,0
3,ለምን,ለም,ለ,ም,ምን,ም,ን,1
3,ለምኝ,ለም,ለ,ም,ምኝ,ም,ኝ,0
5,አትለምኝ ,አት,አ,ት,ኝ ,ኝ, ,0
6,አይለምንም,አይ,አ,ይ,ንም,ን,ም,1
3,ለቀመ,ለቀ,ለ,ቀ,ቀመ,ቀ,መ,1
4,ለቀመች,ለቀ,ለ,ቀ,መች,መ,ች,0
5,ይለቅማል,ይለ,ይ,ለ,ማል,ማ,ል,1
6,ትለቅማልች,ትለ,ት,ለ,ልች,ል,ች,0
4,ይልቀም,ይል,ይ,ል,ቀም,ቀ,ም,1
4,ትልቀም,ትል,ት,ል,ቀም,ቀ,ም,0
4,ለቅሟል,ለቅ,ለ,ቅ,ሟል,ሟ,ል,1
5,ለቀማለች,ለቀ,ለ,ቀ,ለች,ለ,ች,0
5,አለቀመም,አለ,አ,ለ,መም,መ,ም,1
6,አለቀመችም,አለ,አ,ለ,ችም,ች,ም,0
6,አትለቅሚም,አት,አ,ት,ሚም,ሚ,ም,0
3,ልቀም,ልቀ,ል,ቀ,ቀም,ቀ,ም,1
3,ልቀሚ,ልቀ,ል,ቀ,ቀሚ,ቀ,ሚ,0
5,አትልቀሚ,አት,አ,ት,ቀሚ,ቀ,ሚ,0
6,አይለቅምም,አይ,አ,ይ,ምም,ም,ም,1
3,ለበሰ,ለበ,ለ,በ,በሰ,በ,ሰ,1
4,ለበሰች,ለበ,ለ,በ,ሰች,ሰ,ች,0
5,ይለብሳል,ይለ,ይ,ለ,ሳል,ሳ,ል,1
6,ትለብሳልች,ትለ,ት,ለ,ልች,ል,ች,0
4,ይልበስ,ይል,ይ,ል,በስ,በ,ስ,1
4,ትልበስ,ትል,ት,ል,በስ,በ,ስ,0
4,ለብሷል,ለብ,ለ,ብ,ሷል,ሷ,ል,1
5,ለብሳለች,ለብ,ለ,ብ,ለች,ለ,ች,0
5,አለበሰም,አለ,አ,ለ,ሰም,ሰ,ም,1
6,አለበሰችም,አለ,አ,ለ,ችም,ች,ም,0
6,አትልበሽም,አት,አ,ት,ሽም,ሽ,ም,0
3,ልበስ,ልበ,ል,በ,በስ,በ,ስ,1
3,ልበሽ,ልበ,ል,በ,በሽ,በ,ሽ,0
5,አትልበሽ,አት,አ,ት,በሽ,በ,ሽ,0
6,አይለብስም,አይ,አ,ይ,ስም,ስ,ም,1
3,ለወጠ,ለወ,ለ,ወ,ወጠ,ወ,ጠ,1
4,ለወጠች,ለወ,ለ,ወ,ጠች,ጠ,ች,0
5,ይለውጣል,ይለ,ይ,ለ,ጣል,ጣ,ል,1
6,ትለውጣለች,ትለ,ት,ለ,ለች,ለ,ች,0
4,ይለውጥ,ይለ,ይ,ለ,ውጥ,ው,ጥ,1
4,ትለውጥ,ትለ,ት,ለ,ውጥ,ው,ጥ,0
4,ለውጧል,ለው,ለ,ው,ጧል,ጧ,ል,1
5,ለውጣለች,ለው,ለ,ው,ለች,ለ,ች,0
5,አለወጠም,አለ,አ,ለ,ጠም,ጠ,ም,1
6,አለወጠችም,አለ,አ,ለ,ችም,ች,ም,0
5,አትለውጭ,አት,አ,ት,ውጭ,ው,ጭ,0
3,ለውጥ,ለው,ለ,ው,ውጥ,ው,ጥ,1
3,ለውጭ,ለው,ለ,ው,ውጭ,ው,ጭ,0
6,አትለውጭም,አት,አ,ት,ጭም,ጭ,ም,0
6,አይለውጥም,አይ,አ,ይ,ጥም,ጥ,ም,1
2,ለየ ,ለየ,ለ,የ,የ ,የ, ,1
3,ለየች,ለየ,ለ,የ,የች,የ,ች,0
4,ይለያል,ይለ,ይ,ለ,ያል,ያ,ል,1
5,ትለያለች,ትለ,ት,ለ,ለች,ለ,ች,0
3,ይለይ,ይለ,ይ,ለ,ለይ,ለ,ይ,1
3,ትለይ,ትለ,ት,ለ,ለይ,ለ,ይ,0
4,ለይቷል,ለይ,ለ,ይ,ቷል,ቷ,ል,1
5,ለይታለች,ለይ,ለ,ይ,ለች,ለ,ች,0
4,አለየም,አለ,አ,ለ,የም,የ,ም,1
5,አለየችም,አለ,አ,ለ,ችም,ች,ም,0
5,አይለይም,አይ,አ,ይ,ይም,ይ,ም,1
4,አይለይ ,አይ,አ,ይ,ይ ,ይ, ,1
5,አስለወጠ,አስ,አ,ስ,ወጠ,ወ,ጠ,1
6,አስለወጠች,አስ,አ,ስ,ጠች,ጠ,ች,0
2,ላከ,ላከ,ላ,ከ,ላከ,ላ,ከ,1
3,ላከች,ላከ,ላ,ከ,ከች,ከ,ች,0
4,ይልካል,ይል,ይ,ል,ካል,ካ,ል,1
5,ትልካለች,ትል,ት,ል,ለች,ለ,ች,0
3,ይላክ,ይላ,ይ,ላ,ላክ,ላ,ክ,1
3,ትላክ,ትላ,ት,ላ,ላክ,ላ,ክ,0
3,ልኳል,ልኳ,ል,ኳ,ኳል,ኳ,ል,1
4,ልካለች,ልካ,ል,ካ,ለች,ለ,ች,0
4,አላከም,አላ,አ,ላ,ከም,ከ,ም,1
5,አላከችም,አላ,አ,ላ,ችም,ች,ም,0
4,አይላክ,አይ,አ,ይ,ላክ,ላ,ክ,1
5,አይልክም,አይ,አ,ይ,ክም,ክ,ም,1
2,ላክ,ላክ,ላ,ክ,ላክ,ላ,ክ,1
2,ላኪ,ላኪ,ላ,ኪ,ላኪ,ላ,ኪ,0
4,አስላከ,አስ,አ,ስ,ላከ,ላ,ከ,1
5,አስላከች,አስ,አ,ስ,ከች,ከ,ች,0
5,አትልኪም,አት,አ,ት,ኪም,ኪ,ም,0
4,መለመለ,መለ,መ,ለ,መለ,መ,ለ,1
5,መለመለች,መለ,መ,ለ,ለች,ለ,ች,0
6,ይመለምላል,ይመ,ይ,መ,ላል,ላ,ል,1
7,ትመለምላለች,ትመ,ት,መ,ለች,ለ,ች,0
5,ይመልምል,ይመ,ይ,መ,ምል,ም,ል,1
5,ትመልምል,ትመ,ት,መ,ምል,ም,ል,0
5,መልምሏል,መል,መ,ል,ሏል,ሏ,ል,1
6,መልምላለች,መል,መ,ል,ለች,ለ,ች,0
7,አልመለመለም,አል,አ,ል,ለም,ለ,ም,1
8,አልመለመለችም,አል,አ,ል,ችም,ች,ም,0
6,አይመልምል,አይ,አ,ይ,ምል,ም,ል,1
7,አይመለምልም,አይ,አ,ይ,ልም,ል,ም,1
4,መልምል,መል,መ,ል,ምል,ም,ል,1
4,መልምይ,መል,መ,ል,ምይ,ም,ይ,0
7,አትመለምይም,አት,አ,ት,ይም,ይ,ም,0
2,መራ,መራ,መ,ራ,መራ,መ,ራ,1
3,መራች,መራ,መ,ራ,ራች,ራ,ች,0
4,ይመራል,ይመ,ይ,መ,ራል,ራ,ል,1
5,ትመራለች,ትመ,ት,መ,ለች,ለ,ች,0
3,ይምራ,ይም,ይ,ም,ምራ,ም,ራ,1
3,ትምራ,ትም,ት,ም,ምራ,ም,ራ,0
4,መርቷል,መር,መ,ር,ቷል,ቷ,ል,1
5,መርታለች,መር,መ,ር,ለች,ለ,ች,0
5,አልመራም,አል,አ,ል,ራም,ራ,ም,1
6,አልመራችም,አል,አ,ል,ችም,ች,ም,0
4,አይምራ,አይ,አ,ይ,ምራ,ም,ራ,1
5,አይመራም,አይ,አ,ይ,ራም,ራ,ም,1
2,ምራ,ምራ,ም,ራ,ምራ,ም,ራ,1
2,ምሪ,ምሪ,ም,ሪ,ምሪ,ም,ሪ,0
5,አትመሪም,አት,አ,ት,ሪም,ሪ,ም,0
4,መረመረ,መረ,መ,ረ,መረ,መ,ረ,1
5,መረመረች,መረ,መ,ረ,ረች,ረ,ች,0
6,ይመረምራል,ይመ,ይ,መ,ራል,ራ,ል,1
5,ይመርምር,ይመ,ይ,መ,ምር,ም,ር,1
5,ትመርምር,ትመ,ት,መ,ምር,ም,ር,0
5,መርምሯል,መር,መ,ር,ሯል,ሯ,ል,1
6,መርምራለች,መር,መ,ር,ለች,ለ,ች,0
7,አልመረመረም,አል,አ,ል,ረም,ረ,ም,1
8,አልመረመረችም,አል,አ,ል,ችም,ች,ም,0
6,አይመርምር,አይ,አ,ይ,ምር,ም,ር,1
4,መርምር,መር,መ,ር,ምር,ም,ር,1
4,መርምሪ,መር,መ,ር,ምሪ,ም,ሪ,0
7,አይመረምርም,አይ,አ,ይ,ርም,ር,ም,1
7,አትመረምሪም,አት,አ,ት,ሪም,ሪ,ም,0
6,አስመርምሪ,አስ,አ,ስ,ምሪ,ም,ሪ,0
4,መሰረተ,መሰ,መ,ሰ,ረተ,ረ,ተ,1
5,መሰረተች,መሰ,መ,ሰ,ተች,ተ,ች,0
6,ይመሰርታል,ይመ,ይ,መ,ታል,ታ,ል,1
7,ትመሰርታለች,ትመ,ት,መ,ለች,ለ,ች,0
5,ይመስርት,ይመ,ይ,መ,ርት,ር,ት,1
5,ትመስርት,ትመ,ት,መ,ርት,ር,ት,0
5,መስርቷል,መስ,መ,ስ,ቷል,ቷ,ል,1
6,መስርታለች,መስ,መ,ስ,ለች,ለ,ች,0
7,አልመሰረተም,አል,አ,ል,ተም,ተ,ም,1
8,አልመሰረተችም,አል,አ,ል,ችም,ች,ም,0
7,አይመሰርትም,አይ,አ,ይ,ትም,ት,ም,1
4,መስርት,መስ,መ,ስ,ርት,ር,ት,1
4,መስርች,መስ,መ,ስ,ርች,ር,ች,0
6,አይመስርት,አይ,አ,ይ,ርት,ር,ት,1
6,አትመስርች,አት,አ,ት,ርች,ር,ች,0
7,አትመሰርችም,አት,አ,ት,ችም,ች,ም,0
6,አስመስርት,አስ,አ,ስ,ርት,ር,ት,1
2,መታ,መታ,መ,ታ,መታ,መ,ታ,1
3,መታች,መታ,መ,ታ,ታች,ታ,ች,0
4,ይመታል,ይመ,ይ,መ,ታል,ታ,ል,1
5,ትመታለች,ትመ,ት,መ,ለች,ለ,ች,0
3,ይምታ,ይም,ይ,ም,ምታ,ም,ታ,1
3,ትምታ,ትም,ት,ም,ምታ,ም,ታ,0
5,አልመታም,አል,አ,ል,ታም,ታ,ም,1
6,አልመታችም,አል,አ,ል,ችም,ች,ም,0
5,አይመታም,አይ,አ,ይ,ታም,ታ,ም,1
2,ምታ,ምታ,ም,ታ,ምታ,ም,ታ,1
2,ምች,ምች,ም,ች,ምች,ም,ች,0
4,አይምታ,አይ,አ,ይ,ምታ,ም,ታ,1
4,አትምች,አት,አ,ት,ምች,ም,ች,0
4,አስመታ,አስ,አ,ስ,መታ,መ,ታ,1
4,አስመች,አስ,አ,ስ,መች,መ,ች,0
3,መዘነ,መዘ,መ,ዘ,ዘነ,ዘ,ነ,1
4,መዘነች,መዘ,መ,ዘ,ነች,ነ,ች,0
5,ይመዝናል,ይመ,ይ,መ,ናል,ና,ል,1
6,ትመዝናለች,ትመ,ት,መ,ለች,ለ,ች,0
4,ይመዝን,ይመ,ይ,መ,ዝን,ዝ,ን,1
4,ትመዝን,ትመ,ት,መ,ዝን,ዝ,ን,0
4,መዝኗል,መዝ,መ,ዝ,ኗል,ኗ,ል,1
5,መዝናለች,መዝ,መ,ዝ,ለች,ለ,ች,0
6,አልመዘነም,አል,አ,ል,ነም,ነ,ም,1
7,አልመዘነችም,አል,አ,ል,ችም,ች,ም,0
3,መዝን,መዝ,መ,ዝ,ዝን,ዝ,ን,1
3,መዝኝ,መዝ,መ,ዝ,ዝኝ,ዝ,ኝ,0
5,አይመዝን,አይ,አ,ይ,ዝን,ዝ,ን,1
5,አትመዝኝ,አት,አ,ት,ዝኝ,ዝ,ኝ,0
3,ተማረ,ተማ,ተ,ማ,ማረ,ማ,ረ,1
4,ተማረች,ተማ,ተ,ማ,ረች,ረ,ች,0
3,ይማር,ይማ,ይ,ማ,ማር,ማ,ር,1
3,ትማር,ትማ,ት,ማ,ማር,ማ,ር,0
4,ይማራል,ይማ,ይ,ማ,ራል,ራ,ል,1
5,ትማራለች,ትማ,ት,ማ,ለች,ለ,ች,0
4,ተምሯል,ተም,ተ,ም,ሯል,ሯ,ል,1
5,ተምራለች,ተም,ተ,ም,ለች,ለ,ች,0
6,አልተማረም,አል,አ,ል,ረም,ረ,ም,1
7,አልተማረችም,አል,አ,ል,ችም,ች,ም,0
3,ተማር,ተማ,ተ,ማ,ማር,ማ,ር,1
4,አትምሪ,አት,አ,ት,ምሪ,ም,ሪ,0
5,አይማርም,አይ,አ,ይ,ርም,ር,ም,1
5,አስተምሪ,አስ,አ,ስ,ምሪ,ም,ሪ,0
5,አስተምር,አስ,አ,ስ,ምር,ም,ር,1
4,መነጠረ,መነ,መ,ነ,ጠረ,ጠ,ረ,1
5,መነጠረች,መነ,መ,ነ,ረች,ረ,ች,0
5,ይመንጥር,ይመ,ይ,መ,ጥር,ጥ,ር,1
5,ትመንጥር,ትመ,ት,መ,ጥር,ጥ,ር,0
6,ይመነጥራል,ይመ,ይ,መ,ራል,ራ,ል,1
7,ትመነጥራለች,ትመ,ት,መ,ለች,ለ,ች,0
5,መንጥሯል,መን,መ,ን,ሯል,ሯ,ል,1
6,መንጥራለች,መን,መ,ን,ለች,ለ,ች,0
7,አልመነጠረም,አል,አ,ል,ረም,ረ,ም,1
8,አልመነጠረችም,አል,አ,ል,ችም,ች,ም,0
4,መንጥር,መን,መ,ን,ጥር,ጥ,ር,1
4,መንጥሪ,መን,መ,ን,ጥሪ,ጥ,ሪ,0
7,አይመነጥርም,አይ,አ,ይ,ርም,ር,ም,1
6,አስመንጥር,አስ,አ,ስ,ጥር,ጥ,ር,1
6,አስመንጥሪ,አስ,አ,ስ,ጥሪ,ጥ,ሪ,0
6,አትመንጥሪ,አት,አ,ት,ጥሪ,ጥ,ሪ,0
3,መከረ,መከ,መ,ከ,ከረ,ከ,ረ,1
4,መከረች,መከ,መ,ከ,ረች,ረ,ች,0
4,ይምከር,ይም,ይ,ም,ከር,ከ,ር,1
4,ትምከር,ትም,ት,ም,ከር,ከ,ር,0
5,ይመክራል,ይመ,ይ,መ,ራል,ራ,ል,1
6,ትመክራለች,ትመ,ት,መ,ለች,ለ,ች,0
4,መክሯል,መክ,መ,ክ,ሯል,ሯ,ል,1
5,መክራለች,መክ,መ,ክ,ለች,ለ,ች,0
6,አልመከረም,አል,አ,ል,ረም,ረ,ም,1
7,አልመከረችም,አል,አ,ል,ችም,ች,ም,0
3,ምከር,ምከ,ም,ከ,ከር,ከ,ር,1
3,ምከሪ,ምከ,ም,ከ,ከሪ,ከ,ሪ,0
6,አይመክርም,አይ,አ,ይ,ርም,ር,ም,1
5,አስመክር,አስ,አ,ስ,ክር,ክ,ር,1
5,አስመክሪ,አስ,አ,ስ,ክሪ,ክ,ሪ,0
5,አትምከሪ,አት,አ,ት,ከሪ,ከ,ሪ,0
3,መደበ,መደ,መ,ደ,ደበ,ደ,በ,1
4,መደበች,መደ,መ,ደ,በች,በ,ች,0
4,ይመድብ,ይመ,ይ,መ,ድብ,ድ,ብ,1
4,ትመድብ,ትመ,ት,መ,ድብ,ድ,ብ,0
5,ይመድባል,ይመ,ይ,መ,ባል,ባ,ል,1
6,ትመድባልች,ትመ,ት,መ,ልች,ል,ች,0
4,መድቧል,መድ,መ,ድ,ቧል,ቧ,ል,1
5,መድባለች,መድ,መ,ድ,ለች,ለ,ች,0
6,አልመደበም,አል,አ,ል,በም,በ,ም,1
7,አልመደበችም,አል,አ,ል,ችም,ች,ም,0
3,መድብ,መድ,መ,ድ,ድብ,ድ,ብ,1
3,መድቢ,መድ,መ,ድ,ድቢ,ድ,ቢ,0
6,አይመድብም,አይ,አ,ይ,ብም,ብ,ም,1
5,አስመድብ,አስ,አ,ስ,ድብ,ድ,ብ,1
5,አስመድቢ,አስ,አ,ስ,ድቢ,ድ,ቢ,0
5,አትመድቢ,አት,አ,ት,ድቢ,ድ,ቢ,0
3,መገበ,መገ,መ,ገ,ገበ,ገ,በ,1
4,መገበች,መገ,መ,ገ,በች,በ,ች,0
4,ይመግብ,ይመ,ይ,መ,ግብ,ግ,ብ,1
4,ትመግብ,ትመ,ት,መ,ግብ,ግ,ብ,0
5,ይመግባል,ይመ,ይ,መ,ባል,ባ,ል,1
6,ትመግባለች,ትመ,ት,መ,ለች,ለ,ች,0
4,መግቧል,መግ,መ,ግ,ቧል,ቧ,ል,1
5,መግባልች,መግ,መ,ግ,ልች,ል,ች,0
6,አልመገበም,አል,አ,ል,በም,በ,ም,1
7,አልመገበችም,አል,አ,ል,ችም,ች,ም,0
3,መግብ,መግ,መ,ግ,ግብ,ግ,ብ,1
3,መግቢ,መግ,መ,ግ,ግቢ,ግ,ቢ,0
6,አይመግብም,አይ,አ,ይ,ብም,ብ,ም,1
5,አስመግብ,አስ,አ,ስ,ግብ,ግ,ብ,1
5,አስመግቢ,አስ,አ,ስ,ግቢ,ግ,ቢ,0
5,አትመግቢ,አት,አ,ት,ግቢ,ግ,ቢ,0
3,ማለደ,ማለ,ማ,ለ,ለደ,ለ,ደ,1
4,ማለደች,ማለ,ማ,ለ,ደች,ደ,ች,0
5,ይማልዳል,ይማ,ይ,ማ,ዳል,ዳ,ል,1
6,ትማልዳለች,ትማ,ት,ማ,ለች,ለ,ች,0
4,ይማልድ,ይማ,ይ,ማ,ልድ,ል,ድ,1
4,ትማልድ,ትማ,ት,ማ,ልድ,ል,ድ,0
4,ማልዷል,ማል,ማ,ል,ዷል,ዷ,ል,1
5,ማልዳለች,ማል,ማ,ል,ለች,ለ,ች,0
6,አልማለደም,አል,አ,ል,ደም,ደ,ም,1
7,አልማለደችም,አል,አ,ል,ችም,ች,ም,0
3,ማልድ,ማል,ማ,ል,ልድ,ል,ድ,1
3,ማልጅ,ማል,ማ,ል,ልጅ,ል,ጅ,0
6,አይማልድም,አይ,አ,ይ,ድም,ድ,ም,1
5,አስማልድ,አስ,አ,ስ,ልድ,ል,ድ,1
5,አስማልጅ,አስ,አ,ስ,ልጅ,ል,ጅ,0
5,አትማልጅ,አት,አ,ት,ልጅ,ል,ጅ,0
4,ሠለጠነ,ሠለ,ሠ,ለ,ጠነ,ጠ,ነ,1
5,ሠለጠነች,ሠለ,ሠ,ለ,ነች,ነ,ች,0
6,ይሰለጥናል,ይሰ,ይ,ሰ,ናል,ና,ል,1
7,ትሰለጥናለች,ትሰ,ት,ሰ,ለች,ለ,ች,0
5,ይሰልጥን,ይሰ,ይ,ሰ,ጥን,ጥ,ን,1
5,ትሰልጥን,ትሰ,ት,ሰ,ጥን,ጥ,ን,0
5,ሰልጥኗል,ሰል,ሰ,ል,ኗል,ኗ,ል,1
6,ሰልጥናለች,ሰል,ሰ,ል,ለች,ለ,ች,0
7,አልሰለጠነም,አል,አ,ል,ነም,ነ,ም,1
8,አልሰለጠነችም,አል,አ,ል,ችም,ች,ም,0
4,ሰልጥን,ሰል,ሰ,ል,ጥን,ጥ,ን,1
4,ሰልጥኝ,ሰል,ሰ,ል,ጥኝ,ጥ,ኝ,0
7,አይሰለጥንም,አይ,አ,ይ,ንም,ን,ም,1
5,አሰልጥን,አሰ,አ,ሰ,ጥን,ጥ,ን,1
5,አሰልጥኝ,አሰ,አ,ሰ,ጥኝ,ጥ,ኝ,0
6,አታሰልጥኝ,አታ,አ,ታ,ጥኝ,ጥ,ኝ,0
2,ሳቀ,ሳቀ,ሳ,ቀ,ሳቀ,ሳ,ቀ,1
